id,SMILES,InChIKey,pSat_Pa,ChemPot_kJmol,FreeEnergy_kJmol,HeatOfVap_kJmol,MW,NumOfAtoms,NumOfC,NumOfO,NumOfN,NumHBondDonors,NumOfConf,NumOfConfUsed,parentspecies,C=C (non-aromatic),C=C-C=O in non-aromatic ring,hydroxyl (alkyl),aldehyde,ketone,carboxylic acid,ester,ether (alicyclic),nitrate,nitro,aromatic hydroxyl,carbonylperoxynitrate,peroxide,hydroperoxide,carbonylperoxyacid,nitroester
100809,C12OOC(C1(O)C)C(OO)C(O)C2(ON(=O)(=O)),TXLAJLFBOQXVTN-UHFFFAOYSA-N,9.84833899e-06,4.26973016,-2639634.63436128,127.66568072,253.043380932,28,7,9,1,3,68.0,11.0,toluene,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0
11712,C(=O)(O)C(O)C(O)C(OO)C(=O),QXQIFULVHGTXBH-UHFFFAOYSA-N,2.87313842e-06,5.47468032,-1896203.21120224,129.07083528,180.027002596,20,5,7,0,4,386.0,21.0,toluene,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0
32538,C(=O)(OO)C(ON(=O)(=O))C(OO)C1(C)OC1(O)C(=O)(OON(=O)(=O)),YVVINRLCMZARIG-UHFFFAOYSA-N,0.000146130051,16.510064,-3963844.52657784,118.47489712,359.9924675559999,32,7,15,2,3,281.0,28.0,toluene,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0
152549,CC(OO)(C)C(ON(=O)(=O))(C(=O)(OO))C(=O)C(O),UWLIEVAXQQOHNO-UHFFFAOYSA-N,9.7358594e-06,10.09707984,-2837242.50822752,124.45525568000002,269.038295552,29,7,10,1,3,327.0,13.0,apin,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0
146216,CC(ON(=O)(=O))C1OOC(ON(=O)(=O))(C1(=O))C(=O)(O),ZSDGMDQNNAXLCT-UHFFFAOYSA-N,0.0148304021,14.13317544,-3070631.38249232,96.15288056,281.997159012,25,6,11,2,1,46.0,18.0,toluene,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0
19385,C(=O)(O)C1(N(=O)(=O))OOC(OO)(C1(O)(O))C(ON(=O)(=O))C(=O),QQPNEKKTTRUAHI-UHFFFAOYSA-N,1.0548372800000002e-05,10.03808544,-3663286.015218,125.82718928,329.981902872,28,6,14,2,4,212.0,8.0,toluene,0,0,2,1,0,1,0,0,1,1,0,0,1,1,0,0
133944,CC(O)(C(=O)(O))OOC(=O)C(O)C(=O),FIOPWOLSPPOAFU-UHFFFAOYSA-N,0.000298704988,10.54916104,-2193952.9031971204,114.23981048,208.021917216,22,6,8,0,3,160.0,14.0,toluene,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0
38692,C(=O)(OON(=O)(=O))C(=O)OC(OO)(C)C(O)C(O)C(=O),OSEVJVGNNARHNX-UHFFFAOYSA-N,0.00341172212,12.14707248,-3229316.85947248,110.88420064,299.012474728,29,7,12,1,3,284.0,11.0,toluene,0,0,2,1,0,0,1,0,0,0,0,1,0,1,0,0
15719,C(=O)(O)C(ON(=O)(=O))CC(=O)C(OO)(C)C(=O)(OO),IHLXBZQSJQHBAB-UHFFFAOYSA-N,2.1824009e-05,9.7305196,-3031800.471444,123.21892552,283.017560108,28,7,11,1,3,508.0,30.0,apin,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0
38515,C(=O)(OON(=O)(=O))C(=O)OC(=O)C(O)(C)C(=O)C(=O),KLTZWGHSDCMFRS-UHFFFAOYSA-N,4.92,16.60177728,-3025568.0766736004,72.88268592,278.98625998,24,7,11,1,1,50.0,21.0,toluene,0,0,1,1,1,0,2,0,0,0,0,1,0,0,0,0
68323,C(ON(=O)(=O))C1(O)OOC(O)(C1(O)(O))C(=O),MYZFUKWFVFPJGD-UHFFFAOYSA-N,4.37957596e-06,28.095685520000004,-2631215.05400928,127.41087512,241.006995424,23,5,10,1,4,107.0,2.0,toluene,0,0,4,1,0,0,0,0,1,0,0,0,1,0,0,0
120328,CC(=O)C(OO)(C1(C)C(ON(=O)(=O)))CC1(ON(=O)(=O))C(=O),DEAQKTNUPAVYJE-UHFFFAOYSA-N,0.000857287874,7.8822376,-3182716.0962858405,101.487104,308.049194584,33,9,10,2,1,57.0,40.0,apin,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0
64416,C(ON(=O)(=O))C(=O)C1(N(=O)(=O))OC1(OO)C(OO),MXXCQBFEFXNXFR-UHFFFAOYSA-N,0.00369745951,17.22703424,-2970223.80153712,101.11907936,269.997159012,24,5,11,2,2,262.0,40.0,toluene,0,0,0,0,1,0,0,1,1,1,0,0,0,2,0,0
26333,C(=O)(OO)C(=O)C(=O)C(O)C(ON(=O)(=O))(C(=O))C(=O),NDGKRQBFEWOTDB-UHFFFAOYSA-N,0.0001994286769999,15.65410128,-3025469.5066544004,112.139568,278.98625998,24,7,11,1,2,264.0,40.0,toluene,0,0,1,2,2,0,0,0,1,0,0,0,0,0,1,0
29347,C(=O)(OO)C(N(=O)(=O))C(=O)C1(C)OC1(OO)C(=O),XUQLORDXPNZQPD-UHFFFAOYSA-N,8.11952444e-05,21.54998488,-2830891.2099510403,111.884344,265.006995424,25,7,10,1,2,74.0,25.0,toluene,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0
