"station","Present_Tmax","Present_Tmin","LDAPS_RHmin","LDAPS_RHmax","LDAPS_Tmax_lapse","LDAPS_Tmin_lapse","LDAPS_WS","LDAPS_LH","LDAPS_CC1","LDAPS_CC2","LDAPS_CC3","LDAPS_CC4","LDAPS_PPT1","LDAPS_PPT2","LDAPS_PPT3","LDAPS_PPT4","lat","lon","DEM","Slope","Solar.radiation","Next_Tmax"
18,35.7,26,84.4479599,92.30833435,26.10436912,24.17085875,10.89108139,88.17508252,0.804607979,0.799245146,0.78918664,0.785635191,1.558013171,1.705515606,1.778124531,2.281070439,37.4832,127.024,56.4448,1.2313,5771.630371,28
9,30.1,21.8,70.75771332,97.71020508,25.93192417,22.09147536,3.419272289,30.0180191,0.338612743,0.61140489,0.619563436,0.628081612,0,0.001118425,0,0,37.4967,126.826,50.9312,0.4125,5109.80957,26.6
19,35.2,25.4,49.06759644,75.48083496,34.68169633,27.15902579,5.989162087,59.33415874,0.277531078,0.050168593,0.132710375,0.029845888,0.068292495,0.009718015,0,0,37.5776,126.938,75.0924,1.7678,5330.692383,35.7
2,33.3,24.3,60.96154404,85.60211945,32.30580313,27.01450962,4.921388427,82.74378451,0.193429759,0.126199049,0.423696172,0.069963091,0,0,2.30861187,0.005209917,37.6046,127.032,44.7624,0.5141,5162.595703,34.4
9,26.9,20.7,38.46293259,76.45963287,28.01932742,16.91826193,7.882512569,135.3971998,0,0,0.135961015,0.499429781,0,0,0,0,37.4967,126.826,50.9312,0.4125,4588.736816,28.4
20,27.6,22.9,62.32436752,97.00519562,27.24174847,21.5031079,10.1664901,82.44636926,0.203365942,0.127916745,0.011260271,0.061987644,0,0,0,0,37.6181,127.004,146.554,4.7296,5649.462891,29.6
19,25.9,21.5,73.00840759,91.06847382,23.65621226,21.02351696,11.09308495,65.29918496,0.583724169,0.75714119,0.829054738,0.907596419,0,4.303777456,7.60340929,5.175811936,37.5776,126.938,75.0924,1.7678,5069.371094,24.4
12,22.8,16.7,71.39398956,95.12954712,30.71335925,22.46800205,8.58661898,88.98404582,0.657393286,0.497234516,0.416194362,0.668120993,1.683018366,0,3.960071921,1.200145199,37.5507,126.988,132.118,0.5931,5629.704102,32.8
3,29.8,24.6,43.9977417,86.22172546,33.06501015,24.79076474,4.817609111,12.82045334,0.236477711,0.15749258,0.219181135,0.081821709,0,0,0,0,37.5776,127.058,33.3068,0.2661,5422.421387,32.5
12,33.3,23.7,42.29761887,74.85728455,32.38469627,24.13194175,8.062502186,24.64452569,0.040081721,0.013149446,0.196573354,0.079313786,0,0,0,0,37.5507,126.988,132.118,0.5931,5609.790039,32.5
6,29.8,25.6,30.1259613,88.03003693,31.08299574,22.94265726,6.127101908,62.14052002,0.12713083,0.064488603,0.017348731,0.033865042,0,0,0,0,37.5102,127.042,54.6384,0.1457,4690.65625,31.9
11,27.7,24.2,57.95459366,93.34854126,31.10052311,24.83828006,7.298551738,38.97590709,0.90672791,0.641792413,0.453895619,0.422024874,1.974346148,0.001494407,0,0,37.5372,127.085,28.7,0.6233,5795.268066,27
24,34.6,27.1,72.04327393,94.05197144,30.67521768,24.91468654,6.264050027,63.32231537,0.547230327,0.737637887,0.727812618,0.399330885,7.283675772,3.246762738,0.127044968,0,37.5237,126.909,17.2956,0.2223,5225.286621,34.3
10,30.7,26.2,65.09745789,97.08557892,29.9186221,25.22481755,10.31541254,67.6821995,0.181307203,0.480966331,0.25626434,0.452206277,0,0,0.046720569,0.502682429,37.4562,126.955,208.507,5.1782,4879.457031,31.2
18,25.4,23.4,86.65896606,95.92166138,26.415065,23.8607603,6.740378598,45.94734565,0.758345011,0.599640895,0.736981457,0.45649881,0.415084957,0.181410702,0.227073067,0.114213483,37.4832,127.024,56.4448,1.2313,5567.336914,27.4
22,30.6,24,64.72602081,92.12102509,31.45946254,25.8185731,7.978928079,72.45477819,0.370317875,0.645469608,0.379601702,0.137353645,0,0.004871441,0,0,37.5102,127.086,21.9668,0.1332,5360.430176,33.4
3,30.2,22.5,47.53852081,85.52945709,29.69697408,23.55428088,6.269955824,14.450297,0.200518063,0.301900873,0.410574827,0.825652794,0,0,0,0.01125387,37.5776,127.058,33.3068,0.2661,5863.555664,29.6
23,35.6,27.3,42.24528885,68.87041473,33.13108883,25.86636203,6.930277944,110.9237639,0.06771718,0.008520492,0.057415936,0.417550527,0,0,0,0,37.5372,126.891,15.5876,0.1554,4710.883301,33.6
14,32.5,23.9,39.96524429,71.26376343,35.75131981,27.3485949,6.150695642,14.48190655,0.078097955,0.159774224,0.372652305,0.355816906,0,0,0,0,37.4967,126.927,30.968,0.618,5777.453613,35.1
1,26.5,22,64.43536377,90.21347046,26.35799989,22.92967418,6.983066519,58.44547168,0.466561967,0.411626532,0.371863647,0.58892021,0,0,0,0,37.6046,126.991,212.335,2.785,5020.102051,25.4
22,35.7,27.8,57.75185394,84.85132599,33.94786627,28.56976656,5.228653838,100.7525554,0.36437506,0.437943356,0.218703292,0.225137248,0,0,0.435291529,0.004653101,37.5102,127.086,21.9668,0.1332,5282.966309,34.1
1,25.9,18.5,57.16934586,94.24941254,27.26907089,21.18775602,5.563079844,70.46328166,0.101453736,0.112465916,0.421967342,0.121176889,0,0.000384528,0.176446768,0,37.6046,126.991,212.335,2.785,5152.121094,28.3
4,33,24.2,40.34065247,89.29458618,30.98729051,21.36626148,7.216708789,103.9052013,0.055319654,0.000361581,0,0,0,0,0,0,37.645,127.022,45.716,2.5348,5776.879395,34
16,32.6,24.7,48.84463501,86.67181396,32.1407778,25.42908289,6.43113029,90.42328644,0.323892669,0.103458819,0.051877779,0.020157042,0.008262802,0,0,0,37.4697,126.995,82.2912,2.2579,4930.931152,33.7
17,28.4,21.4,53.25206757,93.1713028,33.7559455,23.63994103,4.50997285,94.50238458,0.530969563,0.500588226,0.39339384,0.695149212,0,0,7.822625478,1.286410473,37.6181,127.099,53.4712,0.697,5812.780273,32.6
25,33.6,27.7,37.39812469,71.62013245,35.51005515,26.07805065,7.499491711,11.51654969,0.071953754,0.338744146,0.191472544,0.067020772,0,0,0,0,37.5237,126.97,19.5844,0.2713,5340.794922,35.6
17,26.1,23.7,76.07154083,96.55646515,26.8683074,24.30670528,7.913742602,50.11758256,0.803735731,0.597064926,0.808035359,0.684183956,0.139463829,0.068858176,0.001953125,0,37.6181,127.099,53.4712,0.697,5791.961914,25.4
11,30.5,19.7,32.65659332,84.12814331,30.99004027,21.56609126,5.33457391,54.18228904,0.029555044,0.015179317,0.024831067,0.039429238,0,0,0,0,37.5372,127.085,28.7,0.6233,4506.012207,31.3
18,24.1,19.2,42.47201157,77.93883514,25.98738589,17.97288992,9.792919715,110.3786945,0.321474284,0.044554136,0.201257238,0.139384242,0,0,0,0,37.4832,127.024,56.4448,1.2313,4475.678711,28.6
6,29.4,25,51.82731247,84.19239044,31.13818166,24.43431699,5.680318087,44.4266092,0.173561081,0.030131448,0.377003198,0.361385646,0,0,0,0,37.5102,127.042,54.6384,0.1457,5519.032715,31.9
14,34.3,26.2,36.92306137,73.81317902,37.13613868,28.19712998,6.912122329,23.076244,0.03774373,0.036873341,0.022372502,0.067228753,0,0,0,0,37.4967,126.927,30.968,0.618,5313.929199,36.2
13,31.6,27,45.27681351,84.06231689,32.94913483,26.9548134,7.955724756,37.36677063,0.271935065,0.151098297,0.336491841,0.068683765,0.010647373,0,0,0,37.5776,127.083,59.8324,2.6865,5523.393066,32.9
7,35.1,26.1,84.94107056,96.16200256,27.49284962,24.29121364,6.134591142,80.84593741,0.53137524,0.774827614,0.7229751,0.362628235,2.137595773,2.03629338,0.122408629,0,37.5776,126.838,12.37,0.0985,5225.844238,33.5
4,31.6,22.3,77.27918243,97.54071045,28.4269794,23.15546041,6.57111456,84.76393295,0.195616641,0.268912233,0.144949854,0.030877259,0,0,0,0,37.645,127.022,45.716,2.5348,5765.659668,32.2
19,33.2,23.7,49.00317001,82.66187286,33.42492726,26.06719345,5.818877965,63.67271648,0.007019604,0.033169075,0.025504454,0.11773374,0,0,0,0,37.5776,126.938,75.0924,1.7678,5692.742676,34
22,29,23.1,48.91342163,90.62117004,30.2094494,21.34158632,8.337131759,91.60378091,0.233476733,0.231486392,0.034951501,9.69e-07,0,0,0,0,37.5102,127.086,21.9668,0.1332,5841.537598,32.5
13,31.5,26.3,63.10882187,86.57404327,31.73411061,27.00976589,7.649418811,28.81042385,0.228334207,0.231374046,0.207708782,0.191983664,0,0,0.033994012,0,37.5776,127.083,59.8324,2.6865,5310.041992,30.7
17,30.6,25,63.06859207,95.88278961,31.38263019,23.48200791,6.724780262,96.6552186,0.729256399,0.670129256,0.495912545,0.586546353,0.896105447,7.358678261,0.003426674,0.276499887,37.6181,127.099,53.4712,0.697,5474.735352,28
19,24.9,18.4,37.75353241,92.75882721,28.23319371,20.85064011,7.222730974,37.69551663,0.241558696,0.212594714,0.040631964,0.036496556,0,0,0,0,37.5776,126.938,75.0924,1.7678,4650.964355,29.8
13,26.6,24.1,71.38240814,91.66793823,27.20878725,24.7591252,5.227693419,25.31644845,0.631317731,0.649179399,0.589652773,0.448361771,0.291403227,0.072253422,0,0,37.5776,127.083,59.8324,2.6865,5686.350098,26.6
6,30.5,20.9,66.27981567,87.20005035,30.17264409,23.44504866,7.85158211,37.16331649,0.129971636,0.49457903,0.397041432,0.7788579,0,0,0,0.047192981,37.5102,127.042,54.6384,0.1457,5855.803223,28.3
11,28.2,23,63.64530563,89.12463379,31.43344114,25.64653322,6.574837307,35.26222456,0.412453883,0.516177722,0.46825383,0.431811216,0,0,0,0,37.5372,127.085,28.7,0.6233,5708.97998,28.9
21,29.7,21.3,39.71408463,88.33021545,32.01404345,22.71970775,5.885936489,17.85044156,0.017925516,0.026609314,0.273754463,0.268902315,0,0,0,0,37.5507,127.04,26.298,0.5721,5508.149414,30.8
