"parentspecies","pSat_Pa","MW","NumOfAtoms","NumOfC","NumOfO","NumOfN","NumHBondDonors","NumOfConf","NumOfConfUsed","C.C..non.aromatic.","C.C.C.O.in.non.aromatic.ring","hydroxyl..alkyl.","aldehyde","ketone","carboxylic.acid","ester","ether..alicyclic.","nitrate","nitro","aromatic.hydroxyl","carbonylperoxynitrate","peroxide","hydroperoxide","carbonylperoxyacid","nitroester"
"apin",0.00011327645,311.048860236,34,9,11,1,2,328,14,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
"toluene",0.576325517,280.965524536,22,6,12,1,1,154,40,0,0,1,2,2,0,0,0,0,0,0,1,1,0,0,0
"apin",2.47966997e-05,312.044109204,33,8,11,2,2,57,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0
"toluene",5.4546797e-06,222.001181772,21,6,9,0,3,227,40,1,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0
"toluene",0.197958977,309.992073632,27,7,12,2,1,141,40,0,0,1,1,2,0,0,0,1,0,0,1,0,0,0,0
"toluene",0.0016603974599999,234.99643074,21,6,9,1,2,28,12,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0
"toluene",0.0016762163399999,281.997159012,25,6,11,2,1,67,40,0,0,1,1,1,0,0,0,2,0,0,0,1,0,0,0
"apin",6.54774525e-07,283.053945616,32,8,10,1,3,541,26,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0
"toluene",5.844094e-10,237.996096392,22,6,10,0,4,126,1,0,0,3,2,1,0,0,0,0,0,0,0,1,1,0,0
"apin",3.21618324e-06,251.064116376,30,8,8,1,3,442,40,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0
"toluene",0.0178896674999999,221.017166184,22,6,8,1,1,93,40,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0
"toluene",0.000383047746,281.001910044,26,7,11,1,2,182,40,1,0,0,1,0,0,0,1,0,0,0,1,0,2,0,0
"toluene",0.000125937113,253.006995424,24,6,10,1,2,90,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
"toluene",5.60205892e-06,196.021917216,21,5,8,0,3,369,40,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0
"apin",0.0343961566,312.007723696,29,7,12,2,1,295,40,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0
"toluene",3.55159025e-07,224.016831836,23,6,9,0,3,479,40,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0
