"parentspecies","pSat_Pa","MW","NumOfAtoms","NumOfC","NumOfO","NumOfN","NumHBondDonors","NumOfConf","NumOfConfUsed","C.C..non.aromatic.","C.C.C.O.in.non.aromatic.ring","hydroxyl..alkyl.","aldehyde","ketone","carboxylic.acid","ester","ether..alicyclic.","nitrate","nitro","aromatic.hydroxyl","carbonylperoxynitrate","peroxide","hydroperoxide","carbonylperoxyacid","nitroester"
"toluene",5.442,281.997159012,25,6,11,2,0,8,8,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
"toluene",1.19,225.012080804,22,5,9,1,2,34,24,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
"toluene",0.372728135,148.000787848,14,4,6,0,1,9,4,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0
"toluene",0.850544816,311.971338188,25,6,13,2,1,46,40,0,0,1,0,1,0,0,1,0,0,0,2,0,0,0,0
"toluene",0.00279928718,237.012080804,23,6,9,1,2,63,25,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0
"toluene",0.0002395724779999,357.976817492,30,7,15,2,2,341,40,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0
"apin",0.000232740145,253.043380932,28,7,9,1,3,197,27,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
"toluene",0.000287713089,325.986988252,28,7,13,2,2,113,16,0,0,1,1,1,1,0,0,2,0,0,0,1,0,0,0
"toluene",0.0484522733,262.99134536,23,7,10,1,1,122,35,0,0,0,3,1,0,0,1,1,0,0,0,0,1,0,0
"toluene",0.000155267849,298.97608922,25,6,13,1,2,197,40,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0
"toluene",0.00285727855,237.996096392,22,6,10,0,3,93,18,0,0,1,0,3,0,0,0,0,0,0,0,1,2,0,0
"toluene",5.50294922e-06,237.012080804,23,6,9,1,3,167,3,0,0,2,1,1,0,0,0,0,1,0,0,0,0,1,0
"apin",0.00131512338,194.04265266,23,6,7,0,3,175,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
"decane",0.00484414282,228.022979836,23,4,9,2,2,308,40,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0
"decane",1.33249401e-06,312.11688022,41,10,9,2,2,417,40,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0
"apin",0.000261720621,338.059759268,37,10,11,2,1,213,40,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0
